point_index,x,y,z,s1_exe_effect,s1_exe_effect_normalized,s2_exe_effect,s2_exe_effect_normalized,s3_exe_effect,s3_exe_effect_normalized
101,6.103518,1.822069,1.644074,0.013414747382031411,0.38163228159383045,-0.03567908716316337,-0.49545316965874975,-0.020887028069753732,-0.6663223135792231
102,5.669321,0.572329,1.629749,0.010131441891727988,0.33419088073338976,-0.04327967836112867,-0.5797309905968384,-0.026350800652569895,-0.7340372791015576
103,4.848752,-2.974071,1.002744,-0.0010458731377762653,0.17268672450297573,-0.04379513662035883,-0.585446558996845,-0.026319012369115935,-0.7336433127558739
104,3.895776,-3.126843,0.684954,0.0018938240151542551,0.21516323223347777,-0.04614988580958679,-0.611556781919634,-0.025096188294638555,-0.7184883097267329
105,4.651446,-3.566874,0.197129,0.0004868926290861886,0.1948340864787761,-0.04087654032193955,-0.5530842164076795,-0.023371979137856158,-0.6971194182080753
106,3.892884,-3.306361,-0.409536,0.0022110684190108643,0.21974718550207895,-0.04508874730122159,-0.5997905338911316,-0.024156792635608326,-0.7068459612030913
107,5.337136,-1.01991,2.074823,-0.0027111351697497454,0.14862488687323228,-0.045809194143752396,-0.6077790822038571,-0.029661849009741115,-0.7750725751264645
108,6.175825,-1.355744,1.645224,-0.003963906999449485,0.13052323573690727,-0.0435443565354694,-0.5826658280591241,-0.02856738791941682,-0.7615084316937876
109,6.031041,-0.355509,1.524793,-9.576131972588442e-05,0.18641515633957728,-0.04528630561249525,-0.6019811245371341,-0.02931629271223679,-0.7707899421257567
110,6.499585,-1.012819,-0.771624,-0.0031602273082671495,0.14213582874885167,-0.045209015311297396,-0.6011241046034286,-0.029687860182967984,-0.775394943173735
111,5.947897,-1.933193,-1.383859,-0.004685531701451584,0.12009627825165858,-0.04499837599720147,-0.5987884675544777,-0.029388439314367965,-0.7716840870781347
112,6.105487,-0.350612,-1.424047,-6.918776982622887e-05,0.18679912500676266,-0.045267333417121414,-0.6017707546799911,-0.029309864883588777,-0.7707102791843209
113,5.179343,-0.343538,-1.83269,0.0002154482164100635,0.1909119101137906,-0.049015165442625186,-0.6433279320264056,-0.03164012694636753,-0.7995902541187345
114,5.788746,-1.125903,-1.97169,-0.0032266818543811304,0.14117560839454635,-0.04408238130093478,-0.588631621201148,-0.028729865002639965,-0.7635220825040769
115,-1.331475,0.81999,1.699891,-0.07227808882408349,-0.8565675159360324,-0.06265163888815017,-0.7945335734476431,-0.0461302430684829,-0.9791727127132928
116,-2.279718,0.676739,1.405448,-0.07348022534837817,-0.8739375233588782,-0.037748774608231006,-0.5184025354843865,-0.04207566855325462,-0.9289225660710424
117,-2.576111,0.189364,-0.969384,-0.030105982672798515,-0.24721093947342743,-0.010074207377047895,-0.2115379560194205,-0.0010677844988995489,-0.4206936065389657
118,-1.532867,1.91432,-1.29594,-0.07633277998439647,-0.9151548844491941,0.007357653262011432,-0.018247830121103092,-0.020862891514595194,-0.6660231785080584
119,-2.12776,0.925391,-1.501535,-0.08220470679644132,-1.0,-0.039455748213610864,-0.5373300125862677,-0.04781075136341828,-1.0
120,-1.118283,0.103827,-1.520821,-0.04958565206812837,-0.5286781398731377,-0.074555521605149,-0.9265276867950104,-0.04367165531542838,-0.948702340382036
121,-0.914549,1.175532,-1.610699,-0.07033436807503923,-0.8284821502920201,-0.05801303232199517,-0.7430991990151243,-0.03596677506979962,-0.853212330086338
122,-1.42995,-0.634748,1.699895,0.0011098871995431914,0.2038359095617075,-0.03927985451289473,-0.5353796461704208,-0.006253104566989354,-0.4849575861081872
123,-2.352734,-0.368866,1.407886,0.013042545402444983,0.37625423091692634,-0.01842861024641529,-0.30417428531676327,0.01059440786080268,-0.27615886582963767
124,-1.743602,-1.537364,1.399366,0.04244819244977727,0.8011446632124006,-0.016459294641310684,-0.28233787501462526,0.039323523942044414,0.07989385698074836
125,-2.360319,-0.699081,-1.423824,0.03950215699163895,0.7585765715342498,-0.013052238355773849,-0.24455932962524407,0.02342712855460416,-0.11711724647830135
126,-0.546933,-2.684092,1.671666,0.02022643864329776,0.48005631695017303,-0.031202434262826984,-0.44581459001279744,0.008335705027048945,-0.3041519753880154
127,-0.753008,-3.627599,1.378815,0.02039557666467129,0.4825002396056861,-0.02524139950928328,-0.3797167028248418,0.0144679079342529,-0.2281528553398583
128,-1.426647,-2.857545,1.223869,0.027025661668653722,0.5783001952728208,-0.020106132517096587,-0.32277519646509367,0.033840815788757084,0.011944214505417383
129,-0.203248,-4.26792,0.802099,0.017954286472778413,0.44722535368590277,-0.027462578435311524,-0.4043458553372644,0.0090793083766596,-0.29493616810139067
130,0.693109,-4.139376,0.353085,0.01645979900355954,0.42563108555657125,-0.033232343286721644,-0.4683228797998079,0.0015797271096662513,-0.3878818167770993
131,-1.057922,-4.243945,0.253283,0.02042905289352115,0.48298394701483605,-0.021225269747700448,-0.33518455314135187,0.021094370051563782,-0.14602816090803294
132,-0.098094,-4.45314,-0.182249,0.017338511167948933,0.43832784379452927,-0.026448822056111876,-0.393104995728356,0.00930839091473512,-0.29209704624329214
133,-1.08584,-4.055904,-0.733032,0.020911954652545806,0.48996152981782504,-0.021428251909196838,-0.3374352851981949,0.021018478539179597,-0.1469687182000211
134,-1.508058,-2.779702,-1.14338,0.028834444976162388,0.6044358120208262,-0.019209094598923393,-0.3128285490171011,0.03912211372399366,0.07739769050155676
135,-0.789081,-3.434036,-1.469093,0.020738586269865245,0.487456481486634,-0.025355608293596177,-0.38098308687618454,0.014810879562402679,-0.22390225529688745
136,-0.241558,-2.14299,-1.580223,0.02077781181180427,0.4880232623313021,-0.040792516169536164,-0.5521525293472541,-0.002030025573242611,-0.4326190884629828
137,-2.618456,1.586769,1.699805,-0.05524315954235082,-0.6104250503413204,0.027492680105277056,0.2050158795932968,-0.008878836034808657,-0.517499444891528
138,-3.197519,2.351759,1.411447,-0.04584307462173509,-0.4746005898522958,0.06825893390604643,0.6570453268628274,0.022928340029230387,-0.12329895468205165
139,-2.138823,2.420001,1.407234,-0.05908050030810319,-0.6658718621119013,0.05743135002370581,0.5369855641601151,0.0005413158701519372,-0.40075130946112203
140,-3.997928,2.011346,0.910473,-0.033322433130619,-0.29368633323981985,0.08230168542679461,0.8127559113842671,0.05008279407628713,0.21323828066285744
141,-4.152913,2.336222,-0.072659,-0.035697658366134366,-0.32800662809654535,0.09918828448646,1.0,0.0752097027325429,0.524647243527163
142,-3.768821,2.349115,-1.007013,-0.04028286747413601,-0.39425959906256625,0.08441556006053164,0.8361952390927943,0.0490080930257597,0.19991903219849827
143,-3.568775,1.45307,-1.405283,-0.03240683809368461,-0.2804566440435763,0.058659501160413186,0.5506037023928414,0.02828090159935126,-0.05696227673963028
144,-2.38855,2.443394,-1.456589,-0.055798349210137044,-0.6184471413897495,0.058421287804520716,0.5479623154230566,0.004532980983709134,-0.35128082703450647
145,-3.722425,0.765843,1.549942,-0.021047500865307267,-0.11632239806740452,0.04849612410143633,0.4379088804253044,0.02820655630944824,-0.05788367100819192
146,-4.559619,1.217876,1.231008,-0.019178984720995995,-0.08932368482604724,0.06304373182423495,0.5992174742972904,0.040815294435545546,0.09838203268783463
147,-4.829219,0.273151,0.965983,-0.0006749804065595555,0.17804585748339452,0.06295063019478642,0.5981851332265316,0.05886568607221854,0.3220885703988081
148,-5.061715,0.27591,-0.607736,0.002250875921260498,0.22032237525431353,0.06817831832298182,0.6561514351250166,0.06983606322799618,0.45804933736169695
149,-4.349305,0.284323,-1.331138,-0.006868385612889938,0.08855561055011063,0.055203409627733624,0.5122814382754415,0.04462812054579768,0.14563608374595982
150,-2.719076,-1.321133,1.540155,0.056210493039751785,1.0,-0.0018497774958499136,-0.12034280937990338,0.03957567231287573,0.08301884397070025
151,-2.475457,-2.241535,1.226766,0.050383896451265286,0.9158098735488305,-0.000707811277419701,-0.1076803174805927,0.07931360533298193,0.5755087350851651
152,-3.432788,-1.893729,1.122954,0.05038805541922953,0.9158699676420972,0.024159083029282158,0.16805187375048236,0.07300285427298858,0.49729678830841473
153,-3.097873,-2.639567,0.543924,0.04514508713303078,0.8401128500364654,0.018352053024271342,0.10366164117549204,0.11310039740271538,0.9942434875724402
154,-2.443823,-2.830318,-0.201246,0.04236345241549655,0.7999202307168221,0.0011071850669934769,-0.08755504920426604,0.1113615124227576,0.9726927120450197
155,-3.68622,-2.323117,-0.22548,0.04348915291876043,0.8161857926579397,0.04797324940071368,0.4321110761160347,0.1135648778101368,1.0
156,-2.978406,-2.438162,-0.955864,0.048098433441869926,0.8827865782445563,0.012291908504754812,0.03646479274987513,0.09692642043339372,0.7937921920186737
157,-2.137759,-2.011825,-1.313098,0.050161571281992945,0.912597434892737,-0.007351689811631701,-0.18134979803239826,0.06528854996588951,0.4016899814243027
158,-3.27629,-1.564585,-1.34113,0.05378718933304194,0.9649850058436111,0.013853872693106783,0.053784358392725995,0.05310032201578574,0.2506358475067747
159,-3.749818,-0.644686,1.699902,0.01928607645837843,0.46646876029408046,0.03135216607114266,0.2478111120524984,0.03454830952012822,0.020712499220952196
160,-4.284884,-1.435357,-1.401722,0.030862566057690444,0.6337407017139847,0.040794475333772784,0.35251050036995313,0.0512537434711029,0.2277503776977381
161,-3.393681,0.02417,-1.525866,-0.0028294655883311925,0.14691509750441312,0.03177478270259382,0.25249722236460603,0.025520328564775152,-0.09117528707723443
162,-2.726864,3.249878,1.453587,-0.045656091388918796,-0.47189881673723943,0.06310622326460003,0.5999103996611308,0.01171871970060323,-0.2622247687722513
163,-3.665832,3.200884,1.103023,-0.04072153241365717,-0.40059799166742904,0.08102043420008886,0.7985489821272482,0.03374614547399846,0.010770923157232382
164,-1.782925,3.329402,1.095798,-0.05082955326480754,-0.5466516167478055,0.07903469927375761,0.7765305090646981,0.01490310256765115,-0.2227592945447494
165,-2.499855,4.033724,0.87434,-0.04173002921802915,-0.41517004452817674,0.07201475093638177,0.6986910445332584,0.019366323994117085,-0.16744460484441237
166,-3.472726,4.000157,0.532257,-0.038224085589518175,-0.36451168283581825,0.08154603355562706,0.8043769982930278,0.028721904330655246,-0.051496733602014344
167,-1.706911,3.927144,0.269858,-0.04524412084764773,-0.4659461389712337,0.08960975659307735,0.8937901753135868,0.02730564848433037,-0.06904902267537538
168,-4.117516,3.31181,0.193735,-0.03742527970399179,-0.35296951280721256,0.09505499641096682,0.9541687609241234,0.056803517558004835,0.29653119813913564
169,-2.715232,4.32422,-0.072225,-0.03893500694144825,-0.37478398461729034,0.07658685308578583,0.7493879964179062,0.024090190266677247,-0.10889962755444282
170,-3.618029,3.92466,-0.459541,-0.0379188637749861,-0.3601014473285432,0.08433617903537938,0.835315036533623,0.03247625913773611,-0.004967343429435611
171,-1.516369,3.517235,-0.640268,-0.050887826954221005,-0.5474936296117457,0.09464452735776163,0.9496173469004465,0.022078068605941414,-0.13383674688330816
172,-2.399221,3.952632,-0.952194,-0.04263408509495248,-0.428233001168679,0.07162174481187433,0.6943332651281935,0.018555878279124638,-0.1774888193164853
173,-3.46375,3.285894,-1.221609,-0.04161760992317509,-0.41354566664211934,0.07564735332622341,0.7389705182973918,0.02585298760012167,-0.08705249558696859
174,-4.820993,-1.209886,1.520148,0.024839283386440147,0.5467086029505752,0.04038751832038079,0.3479980289830784,0.0435884004648428,0.1327503700074042
175,-5.54126,-0.591859,1.196284,0.018282545861385557,0.451968465555056,0.05071694722637243,0.46253408769979076,0.05037297041637556,0.2168345652019108
176,-5.610562,-1.730137,1.188117,0.021968021458847797,0.505220934963384,0.04116327138665987,0.3565998306468152,0.04465568691632793,0.14597772604562342
177,-4.521122,-2.106921,1.17995,0.029232043987071243,0.610180831518387,0.04540598805362883,0.40364444944509725,0.06213084334939678,0.36255511784342453
178,-6.197027,-1.121559,0.651068,0.018551565697237482,0.45585560853025386,0.04916957118920795,0.44537628020990105,0.049290411149728985,0.2034179263675262
179,-5.269491,-2.50207,0.6429,0.023463284229267245,0.5268264056369663,0.048521802072186926,0.4381936060952696,0.06241561390449446,0.366084406082994
180,-5.63487,0.023305,0.404584,0.011676670005240197,0.3565183146473081,0.06563329851156041,0.6279314298169716,0.07109941762636796,0.4737066507347476
181,-6.080217,-2.023825,0.233595,0.019981807173098165,0.476521568302783,0.04596595788256641,0.4098535765701774,0.05115210930332381,0.2264907802194871
182,-4.631553,-2.701135,-0.116969,0.027851096934931263,0.5902271406842263,0.05519011898138215,0.51213406727703,0.08122391407672147,0.5991840416171701
183,-6.203312,-0.588412,-0.200945,0.016542114121050222,0.4268204797501005,0.0570433181806802,0.5326829412018455,0.058472447631457314,0.3172149913735849
184,-5.527727,-2.445462,-0.511196,0.022186748942055967,0.5083813896456302,0.04764285415704572,0.42844754646953853,0.05910844794492709,0.32509722633963145
185,-6.18016,-1.502733,-0.618417,0.019340459534300525,0.46725455659371296,0.04623793459347647,0.41286934257368846,0.0476178439530881,0.182689056646534
186,-5.631894,-0.43483,-1.037879,0.01686360388279029,0.4314657753841138,0.05452278587944859,0.5047344613508657,0.05505118797518049,0.2748137976642504
187,-4.655928,-2.292125,-1.041335,0.02786584416518556,0.5904402275456657,0.04740228956011583,0.42578008817635626,0.06495856460233052,0.39760032593854033
188,-5.459876,-1.691473,-1.290017,0.022638301735475874,0.5149060024620593,0.040387603250665816,0.3479989707176314,0.044069790560449906,0.13871645172708424
189,0.196936,-3.554348,2.016003,0.014580782329368436,0.3984806472172151,-0.02970007490925619,-0.4291559421146185,0.0014094672961175725,-0.38999192242837544
190,1.128465,-3.285505,1.699408,0.013232676223532192,0.37900148441671844,-0.03831572684229023,-0.5246890857826427,-0.006499807346598718,-0.48801508346231426
191,0.712727,-4.140696,1.379894,0.013905865051234922,0.3887285783847134,-0.03129973309452616,-0.4468934710237409,-0.0005209059474369226,-0.41391589723721645
192,1.074966,-3.957294,-0.558895,0.015400908052671358,0.4103308735546911,-0.035865977634926605,-0.4975254718394687,-0.0017435258268134746,-0.42906836958558636
193,0.264951,-4.325446,-1.111047,0.015494986845981273,0.41169024439577284,-0.028814684175919147,-0.41933844243059426,0.0035043013776894227,-0.3640297112531191
194,1.205905,-3.568635,-1.486002,0.013279789996230917,0.3796822445175525,-0.03734773309981154,-0.5139556571357174,-0.005616639974992399,-0.4770695971317048
195,0.91034,-2.638811,-1.756441,0.014374858722105088,0.3955051993255523,-0.042356822763127244,-0.5694980683393043,-0.008641031942497435,-0.5145522329298573
196,0.076409,-3.731826,-1.921172,0.015012664986499225,0.40472104072373605,-0.028458025703376855,-0.41538369758219107,0.002892441521149536,-0.37161276279161193
197,-1.712772,-3.773493,0.88769,0.0231492830146518,0.5222893141183029,-0.014416032507764243,-0.25968152161586555,0.03122964744126433,-0.02041715704572933
198,-2.240321,-3.814264,0.020268,0.025267421672712675,0.5528948929935649,-0.00682044607979293,-0.17545919519108566,0.04432360006367464,0.14186202587015107
199,-5.465103,1.409054,0.843679,-0.011575795282623424,0.020536929432654505,0.06234822359877379,0.5915054534610593,0.04103506257312084,0.10110571703473115
200,-4.944526,2.233291,0.578678,-0.021578669177664267,-0.12399739782155883,0.07664118795044361,0.7499904790242,0.04189058759539677,0.11170861942658905
201,-5.793894,0.935492,0.012068,-0.004742151686555562,0.11927816022457782,0.06277102927970057,0.5961936600150828,0.049281831974400614,0.20331160082912492
202,-5.602627,1.924664,-0.111944,-0.013958570298369555,-0.0138924543137261,0.06512903989330932,0.6223400466694564,0.03841359180068782,0.06861666294573099
