point_index,x,y,z,gse_effect,gse_effect_normalized,gse_baseline
0,0.115287,0.354354,-1.755685,-18.617408314356,0.30889509188187114,-97283.61393540111
1,-0.057856,-0.148811,1.50649,-40.05434739060001,-0.22685832012177287,-97283.61393540111
2,-0.698106,-0.93634,1.406689,-27.8656215233641,0.07776313017591896,-97283.61393540111
3,-0.235592,0.861487,1.399667,-38.16785881438409,-0.17971107172875933,-97283.61393540111
4,-1.095312,1.341178,1.174692,-26.52085192840605,0.1113717016373148,-97283.61393540111
5,-1.697845,-0.947334,1.169636,-26.55374269683671,0.1105496933577057,-97283.61393540111
6,-2.076878,0.905205,0.979863,-27.87922029575566,0.07742326874878502,-97283.61393540111
7,-2.327176,-0.155328,0.978178,-26.46657969678927,0.11272807687177933,-97283.61393540111
8,-1.020107,-1.519633,0.641698,-28.60230783191219,0.059351816789373846,-97283.61393540111
9,-0.258605,1.530079,0.634208,-26.67369722606963,0.10755178175786129,-97283.61393540111
10,-2.563508,0.46178,0.224703,-32.33899951483181,-0.03403583112106623,-97283.61393540111
11,0.26728,1.268582,-0.184709,-6.79519838758279,0.604356551335804,-97283.61393540111
12,-0.725363,-1.57377,-0.31887,-24.92656187228567,0.1512163051160138,-97283.61393540111
13,-2.226481,0.923557,-0.616029,-25.38014121593733,0.13988041988951516,-97283.61393540111
14,-0.66729,-1.062242,-1.18385,-24.77500767308811,0.15500395777644216,-97283.61393540111
15,-1.985714,0.193375,-1.260153,-22.81806342765049,0.2039120389565563,-97283.61393540111
16,-0.802768,0.705558,-1.517334,-22.80959021601302,0.204123802027266,-97283.61393540111
17,-1.156992,-0.288868,-1.587083,-25.4852660842007,0.1372531321662902,-97283.61393540111
18,0.848859,-0.595435,1.525156,-53.87254724890226,-0.5722036931483596,-97283.61393540111
19,1.578524,-1.073192,1.022684,-46.84783385750779,-0.39664158727112975,-97283.61393540111
20,2.079472,-1.021242,0.154521,-52.77191987002152,-0.5446967402441814,-97283.61393540111
21,1.588378,-1.717262,-0.380814,-31.85941529119737,-0.022050030198582538,-97283.61393540111
22,2.141056,-0.361987,-0.622454,-53.18736717627326,-0.5550796270472115,-97283.61393540111
23,0.141796,-1.996334,-0.658311,-22.33346505726513,0.21602315376926162,-97283.61393540111
24,0.952699,1.022631,-0.912122,-3.57496017270023,0.6848369597071535,-97283.61393540111
25,1.630888,0.319718,-1.177355,-24.09332002009614,0.17204074109295253,-97283.61393540111
26,0.941664,-1.693887,-1.177917,-24.58721561847779,0.15969726933770656,-97283.61393540111
27,1.477909,0.372439,2.060322,-69.01916861515201,-0.9507490651547728,-97283.61393540111
28,1.079386,1.231584,1.739182,-53.11569062489434,-0.5532882818917613,-97283.61393540111
29,2.113742,1.072978,1.73447,-57.4355390144774,-0.6612502211325324,-97283.61393540111
30,2.346606,0.001004,1.723999,-70.98983136049355,-1.0,-97283.61393540111
31,2.840063,0.653441,1.148626,-62.6972889273602,-0.792752226102113,-97283.61393540111
32,2.567887,-0.591183,0.941617,-66.95994422197691,-0.8992847916966614,-97283.61393540111
33,2.315023,1.597549,0.900572,-21.92437841530773,0.22624707442576386,-97283.61393540111
34,2.945827,0.088881,0.305933,-66.56205523986137,-0.8893407237022111,-97283.61393540111
35,2.771458,1.080054,0.164786,-38.22540005108749,-0.18114914615650812,-97283.61393540111
36,-1.685561,1.681906,0.429088,-21.2390726247977,0.24337428247658477,-97283.61393540111
37,-0.858035,2.147022,0.109574,-17.03392669095774,0.3484695702886702,-97283.61393540111
38,-1.672671,2.088733,-0.50465,-23.04344943737669,0.19827917676017504,-97283.61393540111
39,0.60934,-1.984631,1.358057,-26.84462024402455,0.10328006228645648,-97283.61393540111
40,1.480723,-2.068807,0.842114,-28.96801348433655,0.05021207671834382,-97283.61393540111
41,-0.220545,-2.099552,0.810414,-20.39093186355603,0.2645710729828441,-97283.61393540111
42,0.643021,-2.596939,0.548994,-29.34117353839974,0.04088603574408145,-97283.61393540111
43,1.404924,1.974607,1.147481,-8.50924115575617,0.5615190800856895,-97283.61393540111
44,0.592984,2.062524,0.55965,2.26118125214998,0.8306941956762706,-97283.61393540111
45,1.915063,2.35121,0.365475,5.05402615011553,0.9004931617488177,-97283.61393540111
46,1.117499,2.355907,-0.267849,9.03556314356683,1.0,-97283.61393540111
47,2.325931,1.822782,-0.388413,2.92278036742937,0.8472289249176446,-97283.61393540111
48,-0.292972,1.939779,-0.717925,-11.57522574356699,0.48489378865634825,-97283.61393540111
49,-1.723258,1.458992,-1.298063,-19.21139968984062,0.2940500197853011,-97283.61393540111
50,-2.38616,-1.000597,0.418448,-20.88328532829473,0.25226614233451805,-97283.61393540111
51,-1.792657,-1.705341,0.014315,-19.41298046488373,0.28901209960277985,-97283.61393540111
52,-2.805861,-0.385139,-0.280927,-21.53267210320337,0.23603662471868958,-97283.61393540111
53,-2.575456,-1.339858,-0.518739,-25.35967198469734,0.14039198828269428,-97283.61393540111
54,-1.495576,-1.667876,-0.958285,-18.46338312166336,0.3127444997766322,-97283.61393540111
55,-2.469918,-0.686028,-1.284431,-22.38122053106781,0.21482964578098773,-97283.61393540111
56,-1.15759,0.125615,2.321843,-30.18054442424909,0.019908422548891025,-97283.61393540111
57,-1.70919,0.854597,1.913332,-24.78747652356105,0.1546923354333043,-97283.61393540111
58,1.774774,-1.126678,-1.202338,-30.43377839797176,0.013579582177855487,-97283.61393540111
59,0.136091,-1.395328,-1.728495,-21.04366890792153,0.24825782520916717,-97283.61393540111
60,1.728065,-0.404287,-1.89296,-26.50883536091715,0.1116720204939321,-97283.61393540111
61,1.151407,-1.245712,-2.060741,-28.66279952057812,0.05784000446927662,-97283.61393540111
62,0.159837,-0.5285,-2.252529,-24.09292889364588,0.17205051615129974,-97283.61393540111
